Custid,Dayswus_mm,Freq_mm,Recency_mm,LTV_mm,value_labels,Dryred_dec,Sweetred_dec,Drywh_dec,Sweetwh_dec,Dessert_dec,Exotic_dec,labels,wine_labels,Freq,Recency,Monetary,Frequency_Rank,Recency_Rank,Monetary_Rank,RFM_Ave,wine_letters,merged_labels
5325,0.14714285714285713,0.3584905660377358,0.03278688524590164,0.34882418812989924,3,0.67,0.04,0.26,0.02,0.01,0.01,1,2,20.0,18.0,826.0,4,5,4,4.333333333333333,C,3C
3956,0.7014285714285714,0.660377358490566,0.060109289617486336,0.4014557670772676,2,0.49,0.0,0.46,0.01,0.03,0.0,8,0,36.0,33.0,1852.0,5,4,5,4.666666666666667,A,2A
3681,0.1657142857142857,0.05660377358490566,0.10200364298724954,0.09574468085106383,0,0.04,0.29,0.14,0.32,0.21,0.48,5,2,4.0,56.0,39.0,1,3,1,1.6666666666666667,C,0C
2829,0.712857142857143,0.018867924528301886,0.08378870673952642,0.09630459126539753,1,0.86,0.01,0.11,0.01,0.01,0.55,3,2,2.0,46.0,37.0,1,3,1,1.6666666666666667,C,1C
8788,0.41000000000000003,0.018867924528301886,0.00546448087431694,0.1019036954087346,0,0.85,0.0,0.12,0.02,0.01,0.28,3,2,2.0,3.0,36.0,1,5,1,2.3333333333333335,C,0C
4356,0.5228571428571428,0.3018867924528302,0.030965391621129327,0.2032474804031355,1,0.62,0.07,0.27,0.04,0.0,0.3,17,1,17.0,17.0,658.0,3,5,4,4.0,B,1B
7003,0.46285714285714297,0.018867924528301886,0.03460837887067395,0.09686450167973125,0,0.75,0.01,0.22,0.0,0.02,0.23,3,2,2.0,19.0,33.0,1,5,1,2.3333333333333335,C,0C
1815,0.7328571428571428,0.5283018867924528,0.03642987249544627,0.3460246360582307,2,0.4,0.03,0.45,0.03,0.09,0.02,8,0,29.0,20.0,1407.0,5,5,5,5.0,A,2A
9139,0.43285714285714294,0.018867924528301886,0.15664845173041894,0.09630459126539753,0,0.23,0.16,0.4,0.11,0.11,0.3,9,0,2.0,86.0,21.0,1,1,1,1.0,A,0A
6511,0.472857142857143,0.3018867924528302,0.02185792349726776,0.20884658454647256,1,0.88,0.02,0.09,0.01,0.01,0.11,4,2,17.0,12.0,651.0,3,5,3,3.6666666666666665,C,1C
2507,0.6114285714285715,0.20754716981132076,0.11293260473588343,0.1343784994400896,1,0.67,0.1,0.17,0.01,0.06,0.21,17,1,12.0,62.0,391.0,3,2,3,2.6666666666666665,B,1B
10900,0.8128571428571428,0.2830188679245283,0.03278688524590164,0.24692049272116462,1,0.72,0.03,0.22,0.03,0.01,0.14,10,0,16.0,18.0,590.0,3,5,3,3.6666666666666665,A,1A
4625,0.7042857142857143,0.018867924528301886,0.11475409836065574,0.09798432250839866,1,0.64,0.04,0.19,0.02,0.11,0.66,2,2,2.0,63.0,37.0,1,2,1,1.3333333333333333,C,1C
9563,0.3671428571428571,0.2830188679245283,0.151183970856102,0.24076147816349383,3,0.15,0.17,0.37,0.13,0.18,0.12,0,2,16.0,83.0,596.0,3,1,3,2.3333333333333335,C,3C
2799,0.3857142857142858,0.03773584905660378,0.10018214936247723,0.093505039193729,0,0.7,0.04,0.2,0.01,0.05,0.74,2,2,3.0,55.0,51.0,1,3,1,1.6666666666666667,C,0C
4294,0.1528571428571429,0.32075471698113206,0.04371584699453552,0.2592385218365062,3,0.5,0.07,0.31,0.02,0.09,0.12,13,1,18.0,24.0,716.0,4,4,4,4.0,B,3B
