merged_labels,Dayswus,Freq,Recency,LTV
0A,726.0388219544847,4.589022757697457,79.37349397590361,14.512717536813922
0B,719.8660869565217,4.745217391304347,88.09826086956522,14.644347826086957
0C,727.8364726027397,5.622431506849315,80.95890410958904,20.125856164383563
1A,1064.219414893617,8.05718085106383,52.96808510638298,37.900265957446805
1B,1059.9202081526453,8.20294882914137,52.54379878577624,36.50737207285343
1C,1057.6873111782477,9.586858006042297,54.42447129909365,44.383685800604226
2A,1089.9961685823755,28.7816091954023,52.60536398467433,542.9310344827586
2B,1076.8897149938043,32.28624535315985,49.37422552664189,637.1586121437423
2C,1086.6487252124646,30.708215297450426,51.947592067988666,581.3753541076487
3A,726.8763636363636,23.25090909090909,46.974545454545456,401.1818181818182
3B,729.6615201900238,25.57007125890736,49.61401425178147,466.55463182897864
3C,732.2087067861715,24.655569782330346,49.82202304737516,430.95902688860434
