merged_labels,Dryred_dec,Sweetred_dec,Drywh_dec,Sweetwh_dec,Dessert_dec,Exotic_dec
0A,0.41935742971887546,0.11572958500669345,0.24327978580990628,0.11333333333333333,0.1080722891566265,0.35991967871485947
0B,0.4175478260869565,0.08724347826086956,0.3181304347826087,0.08801739130434783,0.08893043478260869,0.14144347826086956
0C,0.6113784246575342,0.04112157534246576,0.26409246575342465,0.04085616438356164,0.042174657534246575,0.1877568493150685
1A,0.4264627659574468,0.11206117021276595,0.23698138297872343,0.11263297872340426,0.11202127659574468,0.3646675531914894
1B,0.4265134431916739,0.08758022549869905,0.30766695576756287,0.09167389418907199,0.08676496097137902,0.14271465741543798
1C,0.6207477341389728,0.038799093655589124,0.25941842900302114,0.03920694864048339,0.04120845921450151,0.17958459214501513
2A,0.44632183908045975,0.10505747126436782,0.257816091954023,0.09735632183908045,0.0931800766283525,0.15206896551724136
2B,0.45763320941759605,0.06736059479553903,0.34158612143742256,0.068091697645601,0.06526641883519207,0.07214374225526642
2C,0.6069688385269122,0.03839943342776204,0.2801133144475921,0.03677053824362606,0.037535410764872525,0.07494334277620397
3A,0.42836363636363634,0.10436363636363637,0.25465454545454547,0.10701818181818182,0.10545454545454545,0.1406909090909091
3B,0.46290973871733965,0.06918052256532066,0.3322802850356295,0.0710332541567696,0.0642517814726841,0.07153206650831355
3C,0.6009475032010244,0.04071702944942382,0.2829961587708067,0.036965428937259924,0.03765685019206146,0.07558258642765685
